id,question
1,"What is the benefit of using Apex classes for code reuse?
Choose one answer
A. Reducing the number of API requests made to the server
B. Increasing the performance of the application
C. Allowing class methods to be called by triggers and other classes
D. Providing a more secure way to store sensitive data

Answers: C
Explanation: One of the benefits of Apex classes is code reuse. Class methods can be called by triggers and other classes, enabling developers to reduce redundancy and write more efficient code."
2,"What is the minimum code coverage required to deploy code or package it to the Lightning Platform AppExchange?
Choose one answer
A. 50%
B. 75%
C. 90%
D. 100%

Answers: B
Explanation: According to Salesforce, before you can deploy your code or package it for the Lightning Platform AppExchange, at least 75% of Apex code must be covered by tests, and all those tests must pass. In addition, each trigger must have some coverage. It is important to note that while code coverage is a requirement for deployment, it should not be the sole reason for writing tests. Tests should also cover common use cases, including positive and negative test cases, and bulk and single-record processing, among others."
3,"Which of the following is NOT a reason to aim for high code coverage when writing tests?
Choose one answer.
A. Ensuring that all data values for conditional code execution are covered
B. Increasing the likelihood that your code is robust
C. Meeting the minimum code coverage requirement for deployments and packages
D. Catching failures and errors in your code

Answers: C
Explanation: While meeting the minimum code coverage requirement is important, it is not the only reason to aim for high code coverage. High code coverage increases the likelihood that your code is robust and catches failures and errors. Another reason to aim for high code coverage is to ensure that all data values for conditional code execution are covered."
4,"Which statement is true regarding creating test data in Apex?
Choose one answer 
A. Salesforce records created in test methods are permanently stored in the database.
B. Pre-existing data in the org is only available to Apex tests when annotated with (SeeAllData=true).
C. The creation of test data in Apex is optional and not necessary for testing.
D. Test data rolls back when the test finishes executing.

Answer: D
Explanation: In Apex, records created in test methods aren't committed to the database, but are rolled back after the test has finished executing. This prevents unneeded test data from being stored in the database and cleans up after the test. Pre-existing data in the org is only available to test classes when annotated with (SeeAllData=true), but it is not a best practice to access org data in tests. Creating test data is optional, but it is strongly recommended, as it makes tests more robust and prevents failures caused by missing or changed data in the org."
5,"Which statement is true about calling a class method that executes asynchronously in Apex?
Choose one answer
A. The method can only be called in a trigger
B. The method can only be called from ApexBatch class
C. The method must be annotated with @future(callout=true)
D. The method must not contain any DML statements

Answers: C
Explanation: To make a callout from a trigger, call a class method that executes asynchronously. Such a method is called a future method and is annotated with @future(callout=true). Option A is incorrect as asynchronous methods can also be called outside of a trigger. Option B is incorrect as there is no requirement for async methods to only be used with ApexBatch. Option D is incorrect as there is no restriction on using DML statements in asynchronous methods."
6,"Explain the benefits of using Lightning Web Components and how to get started developing them.

Answers: A, B
Explanation: The two use cases that require a partial copy or full sandbox are Development Testing and Quality Assurance Testing. Development Testing uses the sandbox environment to build, develop, and test new functionality before deploying to production. Quality Assurance Testing uses the sandbox environment to test the functionality of new changes, code or metadata, in a real-life but separate environment from production.

Where is client-side controller logic contained in the Lightning Component framework?

Choose one answer:
A. Apex
B. Visualforce 
C. HTML
D. JavaScript

Answer: D
Explanation: Client-side controller logic in the Lightning Component framework is contained within JavaScript. Specifically, these are JavaScript controllers that are used to handle client-side events and interact with the server-side or client-side actions.

A developer creates a method in an Apex class and needs to ensure that errors are handled properly. Which three should the developer use?

Choose three answers:
A. ApexPages.addErrorMessage()
B. A custom exception
C. .addError()
D. Database.handleException()
E. A try/catch construct

Answers: B, C, E
Explanation: To ensure that errors are handled properly when creating a method in an Apex class, the developer should use a custom exception, the .addError() method, and a try/catch construct. Custom exceptions allow developers to handle specific errors in a more fine-tuned way. The .addError() method is used to add an error message to a record, which can be displayed to the user. And a try/catch construct is used to handle any potential exceptions that may occur within the method. Database.handleException() is not necessary in this scenario as it handles exceptions thrown by the database, not exceptions in Apex code."
7,"Developers who use Apex must consider several factors in order to maintain security and ensure that sensitive data is not inadvertently exposed. Which three of the following are true regarding the use of Apex in system context? Choose three answers.
A. Apex code can access all objects and fields, regardless of user permissions, field-level security, or organization-wide defaults.
B. Most of the time, system context provides the correct behavior for system-level operations such as triggers and web services that need access to all data in an organization.
C. Sharing rules are always enforced for Apex code that runs in system context.
D. The without sharing keyword can be used to ensure that sharing rules are not enforced for a specific Apex class.
E. The executeAnonymous call and Chatter in Apex are the only exceptions to the way Apex runs in system context.
F. The with sharing keyword can be used to specify that sharing rules for the current user are considered for a specific Apex class.

Answers: A, B, D
Explanation: Apex code generally runs in system context, which means that it has access to all objects and fields without regard to user permissions, field-level security, or organization-wide defaults. Most of the time, system context provides the correct behavior for system-level operations such as triggers and web services that need access to all data in an organization. However, sharing rules are not always bypassed in system context. Developers can use the without sharing keyword to ensure that sharing rules are not enforced for a specific Apex class. The executeAnonymous call and Chatter in Apex are the only exceptions to the way Apex runs in system context. The with sharing keyword can be used to specify that sharing rules for the current user are considered for a specific Apex class."
8,"Before inserting an opportunity record into the database, what should a developer do to ensure the logged-in user has the appropriate permissions?
Choose one answer
A. Check with the Security and SObjectAccessDecision classes to verify CRUD permissions.
B. Check the code to see if the user has create permissions on isCreateable() permissions on Opportunity.Amount.
C. Use the stripInaccessible method, which can be used to remove inaccessible sObject fields before DML operations to avoid exceptions.
D. All of the above.

Answers: B
Explanation: To ensure that the user calling the function has authorization to create opportunities and opportunity amounts, your Apex code should perform a check to see if the user has the create permission on isCreateable() permission on Opportunity.Amount. Only option B covers this requirement, making it the correct answer. Option A refers to a different way of checking permissions, and option C talks about something unrelated to the question."
9,"Write a new exam question:

Which of the following is a trigger created to prevent deletion of accounts when related opportunities exist and it only fires before the record is deleted?

A. AccountDeletionTrigger
B. OpportunityDeletionTrigger
C. AccountOpportunityTrigger
D. DeleteRelatedRecordTrigger

Answers: A
Explanation: In the given scenario, the trigger created to prevent deletion of accounts when related opportunities exist is the AccountDeletion trigger. This trigger fires only before the record is deleted. Therefore, option A is correct while the other options are incorrect. Option B, OpportunityDeletionTrigger, is invalid because it is not specified that it needs to fire when related opportunities exist; option C, AccountOpportunityTrigger, is not a trigger name that exists in the given scenario; and option D, DeleteRelatedRecordTrigger, is invalid because it is not clarified which record is being deleted."
10,"Which of the following is a benefit of using bulk design patterns in Apex triggers?
Choose one answer
A. Better performance
B. Increased server resources usage
C. Decreased governor limits
D. Risk of hitting query limits

Answers: A
Explanation: Apex triggers are optimized to operate in bulk and are designed to consume as few server resources as possible while staying within governor limits. Using bulk design patterns in Apex triggers also results in better performance as compared to individual record processing."
11,"For what use cases can @future methods be used?
Choose three answers
A. Performing synchronous processes.
B. Callouts to external web services.
C. Isolating DML operations on different sObject types.
D. Executing processes in a separate thread.
E. Manipulating standard or custom objects.

Answers: B, C, D
Explanation: Future Apex methods are used to run processes in a separate thread at a later time when system resources become available. Future methods are also typically used for callouts to external web services, isolating DML operations on different sObject types to prevent mixed DML errors, and executing operations you want to run in their own thread when time permits, such as resource-intensive calculation or processing of records. Future methods cannot be used for performing synchronous processes or manipulating standard or custom objects."
